# List saved by vdb on 2021-09-08 from command d = trends a
Month,B.1.617.2,B.1.2,B.1.1.7,None,B.1.596,Other,Count
Sep 2020,0.0,42.857142857142854,0.0,0.0,0.0,57.142857142857146,7
Oct 2020,0.0,34.32835820895522,0.0,0.0,4.477611940298507,61.19402985074627,67
Nov 2020,0.0,28.695652173913043,1.7391304347826086,0.0,21.73913043478261,47.82608695652174,115
Dec 2020,0.0,34.93975903614458,0.0,0.0,7.228915662650603,57.83132530120482,83
Jan 2021,0.0,47.61904761904762,0.0,0.0,4.761904761904762,47.61904761904762,42
Feb 2021,0.0,52.94117647058823,0.0,0.0,0.0,47.05882352941177,17
Mar 2021,0.0,20.0,40.0,0.0,0.0,40.0,40
Apr 2021,0.0,7.894736842105263,38.81578947368421,26.31578947368421,0.6578947368421053,26.31578947368421,152
May 2021,0.0,0.0,23.076923076923077,15.384615384615385,0.0,61.53846153846154,13
Jun 2021,100.0,0.0,0.0,0.0,0.0,0.0,5
Jul 2021,56.016597510373444,0.0,1.2448132780082988,7.8838174273858925,0.0,34.85477178423236,241
